18|458|Plagioclase|Plagioclase is not amongst the most valuable ore types around, but it has the largest amount of pyerite of any ore and is thus always in constant demand. It also yields some tritanium and mexallon. It requires 333 ore units to refine.|516
19|461|Spodumain|Spodumain is amongst the most valuable ore types around, as it is one of only three ore types that yields the ultra-rare megacyte. Otherwise very plain, with a bit of tritanium and pyerite. 250 ore units are needed to refine. |517
20|457|Kernite|Kernite is a fairly common ore type that yields the largest amount of mexallon of any ore types in the universe. Besides mexallon the Kernite also has a bit of tritanium and isogen. 400 units of ore are needed for refining.|523
21|454|Hedbergite|Hedbergite is sought after for its high concentration of isogen, although the high portion size needed for refining makes it a bit less attractive.  Hedbergite also yields some Nocxium, Pyerite and a small amount of Zydrine. 500 ore units are needed to refine it.|527
22|450|Arkonor|The rarest and most sought-after ore in the known universe. A sizable nugget of this can sweep anyone from rags to riches in no time. Arkonor has the largest amount of megacyte of any ore, and also contains some zydrine and tritanium. The portion size for refining is 200 ore units.|512
34|18|Tritanium|The main building block in space structures. A very hard, yet bendable metal. Cannot be used in human habitats due to its instability at atmospheric temperatures. Very common throughout the universe.|18
35|18|Pyerite|A soft crystal-like mineral with a very distinguishing orange glow as if on fire. Used as conduit and in the bio-chemical industry. Commonly found in many asteroid-ore types.|18
36|18|Mexallon|Very flexible metallic mineral, dull to bright silvery green in color. Can be mixed with tritanium to make extremely hard alloys or it can be used by itself for various purposes. Fairly common in most regions.|18
37|18|Isogen|Light-bluish crystal, formed by intense pressure deep within large asteroids and moons. Used in electronic and weapon manufacturing. Only found in abundance in a few areas. |18
38|18|Nocxium|A highly volatile mineral only formed during supernovas, thus severely limiting the extent of its distribution. Vital ingredient in capsule production, making it very coveted.|18
39|18|Zydrine|Only found in huge geodes; rocks on the outside with crystal-like quartz on the inside. The rarest and most precious of these geodes are those that contain the dark green zydrine within. Very rare and very expensive.|18
40|18|Megacyte|An extremely rare mineral found in comets and very occasionally in asteroids that have traveled through gas clouds. Has unique explosive traits that make it very valuable in the armaments industry. |18
41|280|Garbage|Production waste can mean garbage to some but valuable resource material to others.|20
42|280|Spiced Wine|Luxury goods are always solid commodities for inter-stellar trading. Spiced wine is not the rarest of luxury goods, but it can still be sold at small outposts and bases that don't manufacture any themselves.|492
43|280|Antibiotics|Antibiotics are in constant demand everywhere and new, more potent versions, are always made available to counter the increased immunity of bacteria against antibiotics.|492
44|1034|Enriched Uranium|Enriched Uranium is used in many kinds of manufacturing and as a fuel, making it a steady trade commodity.  Enriched Uranium is generally manufactured by combining standard semiconductor PVD methods with ionic separation by means of mass spectrometry.|1335
45|281|Frozen Plant Seeds|Frozen plant seeds are in high demand in many regions, especially on stations orbiting a non-habitable planet.|492
178|83|Carbonized Lead S|Small Projectile Ammo. This ammo uses a simple lead slug encased in a hard shell of crystalline carbon. It is fairly cheap and works very well against most armors. Shields, however, are a problem.   60% increased optimal range. 5% increased tracking speed.|113
179|83|Nuclear S|Small Projectile Ammo. Nuclear weapons are considered by most races to be crude and primitive. However, the Minmatar still favor them over more sophisticated weapons due to the abundance of materials for plutonium production in Minmatar space.  60% increased optimal range. 5% increased tracking speed.|113
